posixTime,teamID,lat,lon,spdkn,hdgdeg
1405785600,294,41.87862,-87.57193,1.97364755538679,100
1405782007,294,41.88244,-87.61572,0,0
1405982100,597,45.84871,-84.61318,1.397862001062,1
1405981800,597,45.84677,-84.61328,2.41337125741151,345
1405981515,597,45.8441,-84.61079,5.35849321224636,35
1405980900,597,45.83642,-84.62971,7.38322952785165,34
1405980600,597,45.8313,-84.64246,7.5944742672669,37
1405980300,597,45.82649,-84.65593,7.46745712534432,45
1405980000,597,45.82275,-84.66981,7.36449112192607,46
1405979700,597,45.81929,-84.68362,7.7967412936542,46
1405979400,597,45.81557,-84.69821,7.59522610007559,47
1405979100,597,45.8122,-84.71255,7.43027724680796,98
1405978200,597,45.81371,-84.75691,7.4878687813198,93
1405976407,597,45.81497,-84.84606,7.76567784503247,91
1405975500,597,45.81511,-84.89284,8.0751274472604,95
1405974600,597,45.81629,-84.94108,8.54012510816014,99
1405973700,597,45.81829,-84.99205,8.71645664783599,92
1405972800,597,45.81884,-85.04415,8.56294125757815,87
1405971900,597,45.8182,-85.09533,7.31267793828512,42
1405971000,597,45.80681,-85.13587,8.40518744375895,4
1405970100,597,45.7728,-85.14783,8.03613340531009,6
1405968300,597,45.71214,-85.18846,6.94084402007061,6
1405967400,597,45.68691,-85.20869,7.5590506793904,4
1405966500,597,45.65825,-85.22737,7.84424483171987,2
1405965607,597,45.62729,-85.24116,7.66748929698032,1
1405964700,597,45.59657,-85.25492,7.66769485424833,2
1405963800,597,45.57309,-85.28587,7.66708407513254,0
1405962900,597,45.5487,-85.31533,7.61859879732026,2
1405962000,597,45.52661,-85.34787,7.40609981263849,4
1405961100,597,45.50383,-85.37757,7.04609435209671,5
1405960200,597,45.48192,-85.40544,6.68673025777717,7
1405959300,597,45.46121,-85.43201,6.44288859684588,7
1405958400,597,45.43994,-85.45535,6.31258878597856,8
1405957500,597,45.41837,-85.47679,6.58145694101368,9
1405956600,597,45.39561,-85.49857,6.49628772550087,9
1405955700,597,45.37289,-85.51951,6.14627074309034,13
1405954800,597,45.35309,-85.54262,7.33167784965727,18
1405953900,597,45.33201,-85.57407,7.34675911880313,19
1405953000,597,45.31068,-85.60529,7.4715564539897,21
1405952106,597,45.2892,-85.63691,7.19103493728434,20
1405951200,597,45.26665,-85.66537,7.51730322190007,24
1405950300,597,45.24487,-85.69734,7.2888072639306,25
1405949400,597,45.22374,-85.72831,6.96459098279079,23
1405948500,597,45.20197,-85.75554,6.94982520811008,26
1405947600,597,45.18098,-85.78384,6.42746490345561,25
1405946700,597,45.16082,-85.80884,7.03513775191396,26
1405945800,597,45.13833,-85.8354900000001,6.97134833770827,23
1405944900,597,45.11443,-85.8588800000001,7.20183573216395,26
1405944000,597,45.09066,-85.8848200000001,6.75972233803479,23
1405943107,597,45.06711,-85.9061200000001,6.80502419297878,25
1405942200,597,45.04354,-85.9289800000001,6.8854796546122,28
1405941300,597,45.02052,-85.9532000000001,7.20200798616986,29
1405940400,597,44.99653,-85.9786900000001,7.16917975893627,31
1405939500,597,44.9731,-86.0048800000001,6.49680220832665,35
1405938600,597,44.95273,-86.0300700000001,7.44756099092571,46
1405937700,597,44.93332,-86.0642700000001,7.75830621218216,49
1405936800,597,44.9143,-86.1011800000001,7.29596225889864,43
1405935900,597,44.89355,-86.1325400000001,7.13662362705753,44
1405935000,597,44.87325,-86.1632000000001,7.49741662435379,48
1405934100,597,44.8534900000001,-86.1973300000001,7.57542829823347,47
1405933207,597,44.8328300000001,-86.2305200000001,7.70770773208975,47
1405932300,597,44.81133,-86.2646200000001,7.55090785201381,44
1405931400,597,44.78915,-86.2960600000001,7.4335176473341,31
1405930500,597,44.76249,-86.3182600000001,6.83458146181548,32
1405929600,597,44.7381000000001,-86.3389500000001,6.46512113376061,28
1405928700,597,44.7140500000001,-86.3560200000001,6.66530871695462,26
1405927800,597,44.6888200000001,-86.3723400000001,7.33466781949183,30
1405926900,597,44.6618,-86.3924100000001,7.38963203100315,31
1405926000,597,44.6346300000001,-86.4127600000001,7.56298475319118,31
1405925100,597,44.6066700000001,-86.4331700000001,7.28914689090595,28
1405924200,597,44.5791200000001,-86.4511100000001,7.25672334853703,30
1405923300,597,44.5519600000001,-86.4697500000001,6.63381452732404,29
1405922407,597,44.5271100000001,-86.4860200000001,6.73783660223567,26
1405921500,597,44.5008400000001,-86.5007400000001,6.63885859336054,25
